brand,price,model,model_year,milage,fuel_type,transmission,engine,accident
Acura,"$15,450",RLX Advance Package,2016,"102,665 mi.",Gasoline,6-Speed A/T,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$16,995",Mustang GT,2001,"52,675 mi.",Gasoline,5-Speed M/T,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$23,000",330 i xDrive,2017,"59,203 mi.",Gasoline,A/T,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$27,000",SL-Class SL550 Roadster,2009,"60,100 mi.",Gasoline,7-Speed A/T,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$76,400",SQ8 4.0T Premium Plus,2021,"43,238 mi.",Gasoline,Transmission w/Dual Shift Mode,500.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
MINI,"$3,600",Cooper S Base,2007,"118,000 mi.",Gasoline,A/T,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$31,000",Mustang EcoBoost,2021,"17,300 mi.",Gasoline,10-Speed A/T,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,None reported
Audi,"$50,000",RS 7 4.0T Prestige,2016,"64,800 mi.",Gasoline,8-Speed A/T,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$46,798",GLC 300 GLC 300,2022,"1,408 mi.",Gasoline,Automatic,2.0 Liter Turbo,None reported
Volkswagen,"$35,000",Touareg TDI Lux,2015,"15,167 mi.",Diesel,8-Speed A/T,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,None reported
Porsche,"$41,000",Cayenne GTS,2016,"64,600 mi.",Gasoline,8-Speed A/T,440.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$83,000",Grand Wagoneer Series III,2022,"31,112 mi.",Gasoline,8-Speed A/T,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$57,000",Model X 100D,2018,"23,250 mi.",,1-Speed A/T,518.0HP Electric Motor Electric Fuel System,None reported
MINI,"$10,500",Cooper S Base,2011,"63,500 mi.",Gasoline,6-Speed M/T,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,None reported
RAM,"$46,999",1500 Laramie,2022,"13,464 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,None reported
Chevrolet,"$7,500",Camaro Base,2001,"64,776 mi.",Gasoline,A/T,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$33,498",Cherokee X,2022,"9,601 mi.",Gasoline,Automatic,3.2L V6 24V MPFI DOHC,None reported
BMW,"$14,000",ALPINA B7 xDrive,2013,"135,000 mi.",Gasoline,A/T,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Volvo,"$7,500",XC90 3.2 Premier Plus,2013,"208,864 mi.",Gasoline,6-Speed A/T,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
INFINITI,"$21,500",Q50 3.0T Premium,2016,"49,872 mi.",Gasoline,7-Speed A/T,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
MINI,"$9,250",Cooper Base,2009,"90,367 mi.",Gasoline,6-Speed M/T,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$82,499",911 Carrera 4S,2014,"36,670 mi.",Gasoline,Transmission w/Dual Shift Mode,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$84,620",Grand Wagoneer Base,2023,"3,752 mi.",Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,None reported
Lexus,"$44,950",RX 350 Base,2021,"30,761 mi.",Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC,None reported
RAM,"$46,599",1500 Laramie,2022,"13,438 mi.",Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,None reported
Jeep,"$49,895",Gladiator Overland,2020,"9,100 mi.",Gasoline,8-Speed A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Chrysler,"$10,000",200 Limited,2017,"100,600 mi.",–,A/T,–,None reported
Ford,"$4,500",Fusion Hybrid Base,2011,"223,824 mi.",Hybrid,A/T,156.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
Audi,"$21,990",A6 2.0T Premium Plus,2016,"96,000 mi.",Gasoline,8-Speed A/T,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$10,500",Silverado 1500 Z71 Extended Cab,2004,"185,000 mi.",Gasoline,4-Speed A/T,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Porsche,"$79,999",Taycan Base,2021,"6,900 mi.",,2-Speed A/T,375.0HP Electric Motor Electric Fuel System,None reported
Honda,"$18,500",Accord Hybrid Touring,2017,"96,400 mi.",Hybrid,CVT Transmission,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,At least 1 accident or damage reported
RAM,"$36,500",2500 SLT,2018,"67,865 mi.",Gasoline,6-Speed A/T,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,None reported
Land,"$44,850",Rover Range Rover Sport Supercharged,2015,"64,300 mi.",E85 Flex Fuel,Transmission w/Dual Shift Mode,550.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,None reported
Chevrolet,"$33,500",Colorado ZR2,2018,"76,500 mi.",Gasoline,8-Speed A/T,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
GMC,"$53,000",Sierra 2500 Denali,2017,"96,343 mi.",Diesel,6-Speed A/T,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,At least 1 accident or damage reported
Subaru,"$24,000",Crosstrek 2.0i Limited,2018,"74,600 mi.",Gasoline,Transmission w/Dual Shift Mode,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$9,995",Outback 2.5i Limited,2014,"157,530 mi.",Gasoline,Automatic CVT,2.5L H4 16V MPFI DOHC,At least 1 accident or damage reported
Tesla,"$95,999",Model X Plaid,2022,"15,000 mi.",,A/T,1020.0HP Electric Motor Electric Fuel System,None reported
Jeep,"$30,000",Wrangler Unlimited Rubicon,2012,"80,000 mi.",Gasoline,A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Tesla,"$45,000",Model S 100D,2018,"83,424 mi.",,1-Speed A/T,518.0HP Electric Motor Electric Fuel System,None reported
Mercedes-Benz,"$37,999",C-Class C 300 4MATIC,2021,"19,000 mi.",Gasoline,A/T,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$67,000",911 Carrera S,2013,"64,000 mi.",Gasoline,7-Speed A/T,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$46,900",GLS 450 Base 4MATIC,2019,"34,068 mi.",Gasoline,9-Speed A/T,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,None reported
Buick,"$33,295",Envision Preferred,2021,"20,104 mi.",Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported
Nissan,"$59,950",Armada Platinum,2022,"8,400 mi.",Gasoline,7-Speed A/T,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,None reported
Porsche,"$209,000",911 Turbo,2021,"11,938 mi.",Gasoline,Transmission w/Dual Shift Mode,572.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,
Chevrolet,"$72,500",Corvette Stingray w/2LT,2021,"24,670 mi.",Gasoline,Transmission w/Dual Shift Mode,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$66,400",Mustang Shelby GT500,2013,"16,478 mi.",Gasoline,6-Speed M/T,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$35,000",F-150 XL,2018,"52,500 mi.",E85 Flex Fuel,A/T,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,None reported
Porsche,"$12,000",Cayenne Turbo,2004,"92,500 mi.",Gasoline,Transmission w/Dual Shift Mode,450.0HP 4.5L 8 Cylinder Engine Gasoline Fuel,None reported
Mitsubishi,"$10,000",Eclipse Spyder GT,2008,"62,930 mi.",Gasoline,A/T,260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Lexus,"$19,975",GX 470 Base,2007,"116,600 mi.",Gasoline,5-Speed A/T,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$7,500",Dakota Big Horn/Lone Star,2010,"172,024 mi.",Gasoline,4-Speed A/T,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jeep,"$22,500",Wrangler Sport,2012,"57,237 mi.",Gasoline,A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$28,300",Outback Limited,2020,"44,600 mi.",Gasoline,CVT Transmission,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$21,000",Wrangler Unlimited Rubicon,2013,"181,830 mi.",Gasoline,6-Speed M/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$36,791",Ascent Touring 7-Passenger,2021,"39,948 mi.",Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,None reported
Ford,"$40,000",F-350 XL,2017,"156,453 mi.",Diesel,6-Speed A/T,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
Porsche,"$36,000",Cayenne Turbo S,2014,"156,193 mi.",Gasoline,8-Speed A/T,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$29,000",X1 xDrive28i,2020,"27,989 mi.",Gasoline,A/T,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$24,999",4Runner Limited,2014,"146,700 mi.",Gasoline,5-Speed A/T,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
GMC,"$42,900",Yukon Denali,2019,"88,450 mi.",Gasoline,10-Speed A/T,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$27,671",C-HR LE,2020,"14,065 mi.",Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,At least 1 accident or damage reported
Subaru,"$30,427",Outback Limited XT,2020,"36,844 mi.",Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,At least 1 accident or damage reported
Chevrolet,"$44,900",Silverado 1500 LT Trail Boss,2020,"49,000 mi.",Gasoline,A/T,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,None reported
BMW,"$17,900",X5 xDrive50i,2013,"58,000 mi.",Gasoline,8-Speed A/T,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$52,000",A6 55 Prestige,2021,"22,800 mi.",Hybrid,A/T,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
Subaru,"$14,750",Outback 2.5i Limited,2014,"78,007 mi.",Gasoline,A/T,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$69,900",F-250 King Ranch,2020,"36,500 mi.",Diesel,10-Speed A/T,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
Honda,"$3,990",CR-V EX,2004,"156,350 mi.",Gasoline,A/T,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Lexus,"$59,000",GX 460 Luxury,2021,"17,710 mi.",Gasoline,A/T,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$7,850",Explorer XLT,2013,"149,000 mi.",Gasoline,A/T,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Subaru,"$16,000",Forester 2.5i Limited,2015,"90,000 mi.",Gasoline,CVT Transmission,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$64,500",Bronco Wildtrak Advanced,2022,"9,990 mi.",Gasoline,Transmission w/Dual Shift Mode,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$29,500",A-Class A 220 4MATIC,2019,"28,663 mi.",Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,None reported
Lexus,"$17,900",NX 200t Base,2015,"124,250 mi.",Gasoline,A/T,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$61,000",F-250 Lariat,2017,"50,780 mi.",Diesel,6-Speed A/T,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
Porsche,"$43,000",911 Carrera C4S,2006,"65,000 mi.",Gasoline,6-Speed M/T,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,
Tesla,"$40,036",Model 3 Long Range,2022,"22,457 mi.",,Automatic,Electric,None reported
Toyota,"$38,298",Camry XSE,2022,"19,361 mi.",Gasoline,Automatic,3.5 Liter,None reported
BMW,"$16,500",i3 94 Ah,2017,"43,000 mi.",,1-Speed A/T,170.0HP 0.65L Electric Motor Electric Fuel System,None reported
Ford,"$21,900",F-250 XL SuperCab H/D,1993,"115,000 mi.",–,A/T,–,None reported
Porsche,"$115,998",Taycan Turbo,2020,"2,076 mi.",,Automatic,Electric,None reported
Porsche,"$188,900",911 GT3,2018,"9,712 mi.",Gasoline,7-Speed Automatic with Auto-Shift,4.0L H6 24V GDI DOHC,None reported
Mercedes-Benz,"$16,500",E-Class E55 AMG,2005,"131,000 mi.",Gasoline,5-Speed A/T,469.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,None reported
Toyota,"$43,000",Highlander XLE,2022,"31,000 mi.",Gasoline,Transmission w/Dual Shift Mode,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Volvo,"$44,900",S60 Recharge Plug-In Hybrid T8 Inscription,2021,"24,158 mi.",Plug-In Hybrid,8-Speed A/T,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,None reported
Audi,"$22,000",A6 3.0T Premium Plus,2016,"72,865 mi.",Gasoline,A/T,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$18,995",E-Class E 350 4MATIC,2014,"89,563 mi.",Gasoline,7-Speed A/T,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Nissan,"$15,000",Juke SL,2012,"72,639 mi.",Gasoline,CVT Transmission,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$19,999",CLS-Class CLS 550,2012,"79,000 mi.",Gasoline,7-Speed A/T,402.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,None reported
Audi,"$11,200",A3 2.0T Premium,2012,"111,564 mi.",Gasoline,6-Speed A/T,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$38,095",GX 460 Base,2018,"75,000 mi.",Gasoline,6-Speed A/T,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$5,900",Mustang Premium,2007,"169,613 mi.",Gasoline,A/T,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Honda,"$9,000",Pilot EX-L,2011,"175,000 mi.",Gasoline,5-Speed A/T,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$24,500",540 i,2017,"98,500 mi.",Gasoline,8-Speed A/T,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Chrysler,"$13,750",300 S,2012,"53,000 mi.",Gasoline,Transmission w/Dual Shift Mode,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
RAM,"$52,500",2500 Longhorn,2015,"72,200 mi.",Diesel,6-Speed A/T,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,None reported
Acura,"$7,899",TSX Base,2005,"151,600 mi.",Gasoline,6-Speed M/T,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,None reported
Lotus,"$51,000",Evora 2+2,2011,"20,000 mi.",Gasoline,6-Speed M/T,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$9,000",Avalanche 1500 LT,2010,"170,000 mi.",E85 Flex Fuel,A/T,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Ford,"$34,600",F-150 XLT,2019,"69,800 mi.",E85 Flex Fuel,10-Speed A/T,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,None reported
Toyota,"$46,199",Tundra SR5,2020,"26,300 mi.",Gasoline,6-Speed A/T,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Honda,"$5,200",Fit Sport,2007,"156,111 mi.",Gasoline,Transmission w/Dual Shift Mode,109.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$32,500",Silverado 2500 LTZ,2016,"172,600 mi.",Diesel,A/T,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,At least 1 accident or damage reported
Honda,"$9,000",Accord Crosstour EX-L,2010,"145,000 mi.",Gasoline,A/T,271.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$7,500",F-250 XLT Super Duty,2001,"64,309 mi.",Gasoline,A/T,260.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,None reported
RAM,"$90,000",1500 TRX,2021,"15,183 mi.",Gasoline,8-Speed A/T,702.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Buick,"$32,063",Envision Essence,2020,"28,548 mi.",Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,None reported
Volkswagen,"$46,900",Atlas 3.6L SEL Premium R-Line,2022,"14,000 mi.",Gasoline,8-Speed A/T,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$44,500",CLS 450 Base,2019,"67,000 mi.",Hybrid,Transmission w/Dual Shift Mode,369.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,None reported
Jeep,"$23,500",Wrangler Unlimited Sport,2017,"84,786 mi.",Gasoline,5-Speed A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Mercedes-Benz,"$17,800",S-Class S 63 AMG,2008,"93,000 mi.",Gasoline,A/T,518.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$6,000",Genesis Coupe 3.8 Track,2010,"127,500 mi.",Gasoline,6-Speed M/T,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$60,999",Mustang Mach-E GT,2022,"8,000 mi.",,1-Speed A/T,480.0HP Electric Motor Electric Fuel System,None reported
GMC,"$32,900",Canyon Elevation Standard,2022,"16,500 mi.",Gasoline,8-Speed A/T,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Jaguar,"$27,200",XK Base,2013,"55,700 mi.",Gasoline,6-Speed A/T,385.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,None reported
Ford,"$76,598",F-250 LARIAT,2021,"42,245 mi.",Diesel,Automatic,Intercooled Turbo Diesel V-8 6.7 L/406,None reported
Toyota,"$12,000",RAV4 Base,2009,"78,500 mi.",Gasoline,4-Speed A/T,179.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Ford,"$51,499",Expedition Platinum,2018,"48,619 mi.",Gasoline,10-Speed A/T,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$42,700",Wrangler Unlimited 4xe Sahara,2021,"51,105 mi.",Hybrid,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo Hybrid,None reported
Ford,"$25,500",F-150 XLT,2016,"25,880 mi.",E85 Flex Fuel,6-Speed A/T,282.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,None reported
Tesla,"$69,995",Model S Plaid,2021,"20,100 mi.",,A/T,1020.0HP Electric Motor Electric Fuel System,None reported
Toyota,"$34,955",Tacoma SR5,2018,"25,083 mi.",Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC,At least 1 accident or damage reported
Audi,"$9,995",TT Roadster quattro,2002,"69,300 mi.",Gasoline,6-Speed M/T,225.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$40,000",Highlander Hybrid Limited Platinum,2019,"46,000 mi.",Hybrid,CVT Transmission,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,None reported
Jeep,"$6,500",Liberty Sport,2008,"141,485 mi.",Gasoline,A/T,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Toyota,"$48,000",Sequoia Limited,2018,"63,990 mi.",Gasoline,6-Speed A/T,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$58,000",Transit-350 Base,2020,"19,400 mi.",Gasoline,A/T,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$13,490",BRZ Limited,2013,"129,858 mi.",Gasoline,6-Speed A/T,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Volvo,"$10,800",XC60 3.2,2012,"102,000 mi.",Gasoline,6-Speed A/T,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$39,900",Impreza WRX Sti Special Edition,2010,"8,700 mi.",Gasoline,6-Speed M/T,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$17,500",Bolt EV LT,2018,"49,279 mi.",,1-Speed A/T,200.0HP Electric Motor Electric Fuel System,None reported
Chevrolet,"$6,500",Monte Carlo Supercharged SS,2004,"148,800 mi.",Gasoline,A/T,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
Cadillac,"$12,900",Escalade Platinum Edition,2012,"160,249 mi.",E85 Flex Fuel,A/T,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,None reported
Chrysler,"$6,000",300M Base,2004,"45,000 mi.",Gasoline,A/T,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$19,500",Silverado 2500 LT H/D Extended Cab,2006,"169,000 mi.",Diesel,6-Speed A/T,360.0HP 6.6L 8 Cylinder Engine Diesel Fuel,None reported
Mercedes-Benz,"$56,000",AMG C 63 S,2017,"46,000 mi.",Gasoline,7-Speed A/T,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,None reported
Ferrari,"$315,000",488 Spider Base,2019,"13,900 mi.",Gasoline,Transmission w/Dual Shift Mode,660.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,None reported
Acura,"$21,900",TLX V6 Tech,2015,"38,000 mi.",Gasoline,9-Speed A/T,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Chevrolet,"$42,000",Corvette Z06,2006,"42,000 mi.",Gasoline,6-Speed M/T,505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$50,999",NX 350h Premium,2024,300 mi.,Hybrid,A/T,240.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,None reported
Mercedes-Benz,"$13,900",SLK-Class SLK 350,2008,"120,800 mi.",Gasoline,7-Speed A/T,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$35,234",Wrangler Unlimited Sahara,2020,"76,313 mi.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,None reported
Chevrolet,"$16,500",Silverado 1500 LT,2012,"104,000 mi.",E85 Flex Fuel,6-Speed A/T,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,At least 1 accident or damage reported
Lexus,"$22,000",GX 460 Base,2010,"97,097 mi.",Gasoline,A/T,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jeep,"$15,900",Wrangler Unlimited X,2008,"136,731 mi.",Gasoline,A/T,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,None reported
RAM,"$24,000",1500 Tradesman/Express,2017,"40,200 mi.",Gasoline,A/T,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Ford,"$44,605",Explorer ST,2021,"39,105 mi.",Gasoline,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,None reported
Mercedes-Benz,"$215,000",G 550 4x4 Squared Base,2017,"23,567 mi.",Gasoline,Transmission w/Dual Shift Mode,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
BMW,"$90,000",M4 Competition,2021,"12,500 mi.",Gasoline,8-Speed A/T,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Chevrolet,"$34,700",Colorado ZR2,2019,"38,900 mi.",Gasoline,8-Speed A/T,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Lincoln,"$25,221",Navigator L Select,2016,"84,272 mi.",Gasoline,6-Speed A/T,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Mercedes-Benz,"$24,999",E-Class E 350,2016,"58,375 mi.",Gasoline,A/T,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$40,999",Mustang Shelby GT500,2007,"7,346 mi.",Gasoline,6-Speed M/T,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,None reported
Dodge,"$15,500",Charger SRT8,2008,"98,231 mi.",Gasoline,5-Speed A/T,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Jaguar,"$18,000",XK Base,2007,"56,000 mi.",Gasoline,A/T,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,None reported
Honda,"$26,000",Civic EX,2020,"13,935 mi.",Gasoline,CVT Transmission,174.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,None reported
Subaru,"$21,250",Impreza 2.0i,2019,"30,000 mi.",Gasoline,CVT Transmission,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,At least 1 accident or damage reported
Saab,"$12,950",9-3 Aero,2009,"106,000 mi.",Gasoline,6-Speed A/T,280.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,None reported
BMW,"$18,700",650 Gran Coupe i xDrive,2014,"82,978 mi.",Gasoline,8-Speed A/T,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,None reported
Jeep,"$35,000",Wrangler Unlimited Sport,2018,"58,500 mi.",Gasoline,8-Speed A/T,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,None reported
Ford,"$51,900",F-350 King Ranch,2015,"92,421 mi.",Diesel,6-Speed A/T,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,None reported
Mazda,"$27,518",CX-30 Preferred,2020,"9,927 mi.",Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,None reported
Jeep,"$13,900",Wrangler Sport,2000,"122,945 mi.",Gasoline,5-Speed M/T,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,None reported
Lexus,"$11,000",RX 330 Base,2006,"110,250 mi.",Gasoline,A/T,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,None reported
INFINITI,"$13,500",QX56 Base,2011,"103,010 mi.",Gasoline,7-Speed A/T,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,None reported
Hyundai,"$15,599",Veloster Value Edition,2017,"55,359 mi.",Gasoline,6-Speed Automatic with Auto-Shift,1.6L I4 16V GDI DOHC,None reported
